Open,Close,Weekday
BTC-USD,BTC-USD,
10777.529296875,10599.10546875,2
9887.73046875,9811.92578125,5
9491.626953125,9552.8603515625,2
9604.05078125,10085.6279296875,5
10821.6328125,10970.1845703125,2
11476.193359375,11941.96875,5
11349.740234375,11523.5791015625,2
10889.4873046875,10051.7041015625,5
10233.005859375,10345.810546875,2
10764.572265625,10138.0498046875,5
10160.7373046875,10138.517578125,2
10203.4267578125,9754.4228515625,5
9630.5927734375,9757.970703125,2
10621.1806640625,10594.4931640625,5
10518.1142578125,10441.2763671875,2
10123.03515625,10178.3720703125,5
10356.4658203125,10347.712890625,2
10247.7958984375,10198.248046875,5
10024.115234375,10070.392578125,2
8603.4287109375,8486.9931640625,5
8246.037109375,8104.185546875,2
8344.212890625,8393.0419921875,5
8149.876953125,7988.15576171875,2
8229.8408203125,8595.740234375,5
